,title,description,genre,published_date,authors
92,the magicians of caprona,in the worlds of chrestomanci anything can happen this adventure takes place in the italian dukedom of caprona where spells are as slippery and as tricksy as spaghetti casa montana and casa petrocchi look after the magical business in the dukedom of caprona watched over by its magnificent guardian statue the angel the families have been feuding for years so when all the spells start going wrong each naturally blames the other then young tonino montana and angelica petrocchi disappear could the terrible rumours of a white devil who threatens caprona be true after all,fantasy,2000.0,diana wynne jones
93,stardust,stardust is an enchanting and enthralling novel from sunday times bestseller and master storyteller neil gaiman charming in every sense of the word and deeply satisfying time out it will delight fans of terry pratchett and jrr tolkiens the hobbit as well as those who loved the feature film starring robert de niro claire danes rupert everett and michelle pfeiffer among others life moves at a leisurely pace in the tiny town of wall  named after the imposing stone barrier which separates the town from a grassy meadow here young tristran thorn has lost his heart to the beautiful victoria forester and for the coveted prize of her hand tristran vows to retrieve a fallen star and deliver it to his beloved it is an oath that sends him over the ancient wall and into a world that is dangerous and strange beyond imagining    includes extra material exclusive to this headline edition,fantasy,2005.0,neil gaiman
94,pippi in the south seas,the adventures of the strongest girl in the world who takes her two friends with her when she travels from sweden to visit her father king of an island in the south seas,fantasy,1959.0,astrid lindgren
95,the tales of beedle the bard,and as for this book said hermione the tales of beedle the bard irsquove never even heard of them yoursquove never heard of the tales of beedle the bard said ron incredulously youre kidding right taken from harry potter and the deathly hallows bloomsbury in association with the childrens high level group is delighted to announce the tales of beedle the bard the first new book from j k rowling since the publication of the final book in the harry potter series harry potter and the deathly hallows the tales of beedle the bard played a crucial role in assisting harry aided by his friends ron and hermione to finally defeat lord voldemort fans will be thrilled to have this opportunity to read the tales in full the tales of beedle the bard is without doubt an exciting addition to the canon of harry potter they also reveal the wonderful versatility of the author as she tackles with relish the structure and varying tones of a classic fairy tale there are five tales included in the book the tale of the three brothers which is recounted in harry potter and the deathly hallows plus four more mdash the fountain of fair fortune the warlocks hairy heart the wizard and the hopping pot and babbitty rabbitty and her cackling stump each tale has its own magical character and will variously bring delight laughter and the thrill of mortal peril the tales of beedle the bard translated from the original runes by hermione granger is introduced and illustrated by j k rowling also included are notes on the stories by professor albus dumbledore which appear by generous permission of the hogwarts headmasters archive,fantasy,2008.0,j k rowling
96,the wicked king,as seneschal to high king cardan jude must fight to keep control of the faerie throne while her younger brother oak enjoys the childhood she never knew,fantasy,2019.0,holly black
97,green eggs and ham,by combining the funniest stories craziest creatures and zaniest pictures with his unique blend of rhyme rhythm and repitition this book helps children of all ages and abilities learn to read,fantasy,2010.0,dr seuss
98,howls moving castle,a new look for one of diana wynne jones funniest and most popular novels,fantasy,2009.0,diana wynne jones
99,the magicians nephew,in the first book of the chronicles of narnia cs lewis shows us how it all began  the glorious birth of narnia at the hand of its unforgettable king it is followed by six more books that collectively tell the history of a world that has become as real as our own,fantasy,2010.0,clive staples lewis
100,moominland midwinter,everyone knows that the moomins sleep through the winter but this year moomintroll discovers that winter is worth waking up for after all,fantasy,1971.0,tove jansson
101,harry potter and the prisoner of azkaban,during his third year at hogwarts school for witchcraft and wizardry harry potter must confront the devious and dangerous wizard responsible for his parents deaths,fantasy,2013.0,inc scholastic j k rowling mary grandpré kazu kibuishi
102,a court of thorns and roses,a gorgeously written tale as lush and romantic as it is ferocious  absolutely spellbinding  new york times bestselling author alexandra brackenfeyre is a huntress and when she sees a deer in the forest being pursued by a wolf she kills the predator and takes its prey to feed herself and her sisters but the wolf was not what it seemed and feyre cannot predict the high price she will have to pay for its death dragged away from her family for the murder of a faerie feyre discovers that her captor his face obscured by a jewelled mask is hiding even more than his piercing green eyes suggest as feyres feelings for tamlin turn from hostility to passion she learns that the faerie lands are a far more dangerous place than she realized and feyre must fight to break an ancient curse or she will lose him foreversarah j maas is a global 1 bestselling author her books have sold more than nine million copies and been translated into 37 languages discover the sweeping romantic fantasy for yourselfcontains mature content not suitable for younger readers,fantasy,2015.0,sarah j maas
103,pippi goes aboard,first published oup 1956,fantasy,1977.0,astrid lindgren
104,artemis fowl,artemis fowl is going straightas soon as he pulls off the most brilliant criminal feat of his career but his last job plan goes awry leaving his loyal bodyguard butler mortally injured artemiss only hope of saving his friend is to enlist the help of his old rival captain holly short of the leprecon fairy police it is going to take a miracle to save butler and artemiss luck may have just run out   praise for artemis fowl the eternity code readers will burn the midnight oil to the finish publishers weekly starred review the action is fast and furious the humor is abundant characterizations are zany and the boy genius works wondersall of which add up to another wild ride for artemis fans  booklist colfers young antihero might be getting more likeable all the time but that hasnt taken the edge off the tomclancymeetsharrypotter action  amazoncom,fantasy,2002.0,eoin colfer
105,harry potter and the goblet of fire,young wizardintraining harry potter prepares for a competition between hogwarts school of magic and two rival schools develops a crush on cho chang and wishes above all to be a normal fourteenyearold,fantasy,2000.0,jk rowling
106,nils,selfish and lazy fourteenyearold nils learns kindness and wisdom after he is bewitched into an elfsized boy and carried off by a barnyard goose to join the migration of wild geese across sweden to lapland,fantasy,2000.0,selma lagerlof
107,the land of oz,no description available,fantasy,1974.0,lyman frank baum john rea neill
108,charlie and the great glass elevator,mr willy wonka might be a genius with chocolate but charlie and his family dont trust his flying skills one bit and right now hes at the helm of a giant glass elevator thats picking up speed and hurtling through space  with charlie and the entire bucket family stuck inside roald dahls uproarious sequel to charlie and the chocolate factory is certain to delight and entertain a new generation of readers from the hardcover edition,fantasy,1988.0,roald dahl
109,the lives of christopher chant,copy 2,fantasy,1988.0,diana wynne jones
110,quidditch through the ages,did you know that there are 700 ways of committing a foul in quidditch the game first began to evolve on queerditch marsh what bumphing is that puddlemere united is oldest team in the britain and ireland league founded 1163 all this information and much more could be yours once you have read this book this is all you could ever need to know about the history the rules  and the breaking of the rules  of the noble wizarding sport of quidditch,fantasy,2009.0,j k rowling
111,the cruel prince,the start of a thrilling new fantasy series from bestselling author holly black about a mortal girl who finds herself caught in a dangerous web of royal faerie intrigue lush dangerous a dark jewel of a book    intoxicating  leigh bardugo 1 new york times bestselling author of six of crows,fantasy,2018.0,holly black
